"","x"
"751","751,1e-04,0.32240182223806"
"752","752,0.012,0.32240182223806"
"753","753,0.028,0.32240182223806"
"754","754,1e-04,0.32240182223806"
"755","755,1e-04,0.32240182223806"
"756","756,1e-04,0.32240182223806"
"757","757,0.036,0.32240182223806"
"758","758,1e-04,0.32240182223806"
"759","759,1e-04,0.32240182223806"
"760","760,1e-04,0.32240182223806"
"761","761,2e-04,0.32240182223806"
"762","762,1e-04,0.32240182223806"
"763","763,0.0237,0.32240182223806"
"764","764,1e-04,0.32240182223806"
"765","765,1e-04,0.32240182223806"
"766","766,4e-04,0.32240182223806"
"767","767,3e-04,0.32240182223806"
"768","768,0,0.32240182223806"
"769","769,4e-04,0.32240182223806"
"770","770,0,0.32240182223806"
"771","771,0,0.32240182223806"
"772","772,0.0145,0.32240182223806"
"773","773,8e-04,0.32240182223806"
"774","774,0,0.32240182223806"
"775","775,0,0.32240182223806"
"776","776,0.0044,0.32240182223806"
"777","777,0,0.32240182223806"
"778","778,0.0031,0.32240182223806"
"779","779,0.0438,0.32240182223806"
"780","780,0.0077,0.32240182223806"
"781","781,0,0.32240182223806"
"782","782,0,0.32240182223806"
"783","783,0.0018,0.32240182223806"
"784","784,0,0.32240182223806"
"785","785,0.001,0.32240182223806"
"786","786,1e-04,0.32240182223806"
"787","787,0.0124,0.32240182223806"
"788","788,0.0101,0.32240182223806"
"789","789,0.0021,0.32240182223806"
"790","790,0.0022,0.32240182223806"
"791","791,0.0322,0.32240182223806"
"792","792,0.0154,0.32240182223806"
"793","793,0.0207,0.32240182223806"
"794","794,0.0244,0.32240182223806"
"795","795,0.0088,0.32240182223806"
"796","796,0.0182,0.32240182223806"
"797","797,0.004,0.32240182223806"
"798","798,0.0036,0.32240182223806"
"799","799,0.0096,0.32240182223806"
"800","800,0.0086,0.32240182223806"
"801","801,0.0325,0.32240182223806"
"802","802,0.0013,0.32240182223806"
"803","803,0.0278,0.32240182223806"
"804","804,0.0353,0.32240182223806"
"805","805,0.0402,0.32240182223806"
"806","806,0.0357,0.32240182223806"
"807","807,0.0267,0.32240182223806"
"808","808,0.0392,0.32240182223806"
"809","809,0.0085,0.32240182223806"
"810","810,0.0062,0.32240182223806"
"811","811,0.0013,0.32240182223806"
"812","812,0.0055,0.32240182223806"
"813","813,0.0085,0.32240182223806"
"814","814,0.0258,0.32240182223806"
"815","815,0.0029,0.32240182223806"
"816","816,0.0027,0.32240182223806"
"817","817,0.0117,0.32240182223806"
"818","818,0.0045,0.32240182223806"
"819","819,0.0027,0.32240182223806"
"820","820,0.0062,0.32240182223806"
"821","821,0.0116,0.32240182223806"
"822","822,3e-04,0.32240182223806"
"823","823,0.015,0.32240182223806"
"824","824,0,0.32240182223806"
"825","825,3e-04,0.32240182223806"
"826","826,6e-04,0.32240182223806"
"827","827,0.0021,0.32240182223806"
"828","828,0.0085,0.32240182223806"
"829","829,0.0176,0.32240182223806"
"830","830,0.0423,0.32240182223806"
"831","831,0,0.32240182223806"
"832","832,0,0.32240182223806"
"833","833,0,0.32240182223806"
"834","834,5e-04,0.32240182223806"
"835","835,0.002,0.32240182223806"
"836","836,0.0027,0.32240182223806"
"837","837,0.0033,0.32240182223806"
"838","838,0.0351,0.32240182223806"
"839","839,1e-04,0.32240182223806"
"840","840,1e-04,0.32240182223806"
"841","841,0.0043,0.32240182223806"
"842","842,0.0017,0.32240182223806"
"843","843,0.0433,0.32240182223806"
"844","844,0.0091,0.32240182223806"
"845","845,0.003,0.32240182223806"
"846","846,2e-04,0.32240182223806"
"847","847,1e-04,0.32240182223806"
"848","848,1e-04,0.32240182223806"
"849","849,0.0127,0.32240182223806"
"850","850,0.0019,0.32240182223806"
"851","851,3e-04,0.32240182223806"
"852","852,2e-04,0.32240182223806"
"853","853,1e-04,0.32240182223806"
"854","854,1e-04,0.32240182223806"
"855","855,1e-04,0.32240182223806"
"856","856,1e-04,0.32240182223806"
"857","857,0.052,0.32240182223806"
"858","858,0.0176,0.32240182223806"
"859","859,0.0089,0.32240182223806"
"860","860,0.0042,0.32240182223806"
"861","861,1e-04,0.32240182223806"
"862","862,1e-04,0.32240182223806"
"863","863,1e-04,0.32240182223806"
"864","864,0.0451,0.32240182223806"
"865","865,1e-04,0.32240182223806"
"866","866,3e-04,0.32240182223806"
"867","867,1e-04,0.32240182223806"
"868","868,1e-04,0.32240182223806"
"869","869,1e-04,0.32240182223806"
"870","870,0,0.32240182223806"
"871","871,0.0203,0.32240182223806"
"872","872,1e-04,0.32240182223806"
"873","873,1e-04,0.32240182223806"
"874","874,1e-04,0.32240182223806"
"875","875,0,0.32240182223806"
"876","876,0.01,0.32240182223806"
"877","877,0.0249,0.32240182223806"
"878","878,0.0154,0.32240182223806"
"879","879,0.012,0.32240182223806"
"880","880,0.0211,0.32240182223806"
"881","881,0.0299,0.32240182223806"
"882","882,0.0216,0.32240182223806"
"883","883,0.0467,0.32240182223806"
"884","884,0.0244,0.32240182223806"
"885","885,0.0563,0.32240182223806"
"886","886,0.017,0.32240182223806"
"887","887,0.001,0.32240182223806"
"888","888,0.0057,0.32240182223806"
"889","889,0.0266,0.32240182223806"
"890","890,0.0134,0.32240182223806"
"891","891,0.0158,0.32240182223806"
"892","892,0.0079,0.32240182223806"
"893","893,0.0097,0.32240182223806"
"894","894,0.026,0.32240182223806"
"895","895,0.0395,0.32240182223806"
"896","896,0.0269,0.32240182223806"
"897","897,0.0099,0.32240182223806"
"898","898,0.0349,0.32240182223806"
"899","899,0.0416,0.32240182223806"
"900","900,0.0159,0.32240182223806"
"901","901,0.0191,0.32240182223806"
"902","902,0.0384,0.32240182223806"
"903","903,0.0191,0.32240182223806"
"904","904,0.0403,0.32240182223806"
"905","905,0.0264,0.32240182223806"
"906","906,0.0017,0.32240182223806"
"907","907,0.0539,0.32240182223806"
"908","908,0.0138,0.32240182223806"
"909","909,0.0092,0.32240182223806"
"910","910,0.0555,0.32240182223806"
"911","911,0.0103,0.32240182223806"
"912","912,0.0222,0.32240182223806"
"913","913,0.0379,0.32240182223806"
"914","914,0.0183,0.32240182223806"
