IdPE	loc	UE	long	lat	agri	arbu	prai	hydro	foret	heter	ecot	fcoeur	lisi	pente	alt	prec	temp	bati
879	Basse-Terre	Foret_semidecidue	636100	1772100	0.5627	0.0064	0	23.8867	0.3883	1.3266	45.966	0	195.5864	11.9426	211.2298	2380.5664	23.8926	0.012
880	Basse-Terre	Foret_ombrophile	649900	1772100	0.4237	0	0	23.549	0.5347	1.1178	51.4136	0	160.5525	7.2331	153.3067	2116.5015	25.0333	0.0211
881	Basse-Terre	Foret_semidecidue	635700	1771900	0.483	0.0076	0	24.0522	0.4006	1.4662	54.3117	0	207.5031	11.6056	160.6489	2162.6079	24.3123	0.0299
882	Basse-Terre	Foret_ombrophile	649900	1771700	0.4011	0	0	12.9072	0.5526	1.1353	50.6883	0	166.1821	7.8383	143.3218	2060.1411	25.1	0.0216
883	Basse-Terre	Foret_ombrophile	639900	1771500	0.324	0	0	27.2977	0.5457	1.0893	49.1944	0	259.8426	12.1757	476.2838	2945.3032	22.0741	0.0467
884	Basse-Terre	Foret_semidecidue	635900	1771300	0.5141	0.0108	0	44.3834	0.3564	1.6355	57.8889	0	197.5679	12.2678	140.8239	2084.1111	24.4753	0.0244
885	Basse-Terre	Foret_sempervirente	639500	1771300	0.3233	0	0	28.7104	0.5174	1.091	43.2932	0	277.7994	11.172	420.0613	2860.5171	22.5272	0.0563
886	Basse-Terre	Foret_ombrophile	648900	1771100	0.342	0	0	17.326	0.59	0.8587	53.9907	9.00E-04	174.1821	13.4418	194.7172	2280.1714	24.7741	0.017
887	Basse-Terre	Foret_ombrophile	647700	1770900	0.426	0	0	3.608	0.5443	1.0162	38.2932	0.0477	103.0957	17.2029	368.6593	2619.8958	24.0864	0.001
888	Basse-Terre	Foret_ombrophile	648300	1770300	0.6263	0	0	0.6403	0.34	0.81	32.5957	9.00E-04	134.0123	15.3451	261.843	2358.2917	24.5926	0.0057
889	Basse-Terre	Foret_sempervirente	639900	1770100	0.3083	0	0	17.4883	0.532	1.3199	46.4321	0	214.2068	14.6153	393.6082	2796.5215	22.8123	0.0266
890	Basse-Terre	Foret_ombrophile	640900	1769900	0.4047	0	0	6.7829	0.5126	1.2049	49.3488	0	174.7284	15.7854	480.5766	2894.5779	22.3802	0.0134
891	Basse-Terre	Foret_ombrophile	647100	1769900	0.369	0	0	5.2087	0.5656	1.0375	39.3333	0.03	103.7809	16.835	373.5849	2690.2839	23.6704	0.0158
892	Basse-Terre	Foret_ombrophile	642900	1769500	0.3103	0	0	12.7303	0.6119	0.8465	51.142	0	167.0123	19.5018	499.5124	2995.0061	21.879	0.0079
893	Basse-Terre	Foret_ombrophile	646100	1769500	0.1206	0.0025	0	1.4541	0.8435	1.1252	46.1173	0.0873	104.0586	19.7141	456.6773	2858.7947	22.6765	0.0097
894	Basse-Terre	Foret_ombrophile	647300	1769500	0.3566	0	0	8.6659	0.5583	0.954	46.0185	0.0012	137.5093	15.8165	310.5025	2590.2229	23.9605	0.026
895	Basse-Terre	Foret_ombrophile	640900	1769100	0.3829	0	0.0283	0	0.4319	1.4164	50.9105	0	188.8951	14.8165	415.4566	2806.78	22.7642	0.0395
896	Basse-Terre	Foret_ombrophile	646500	1769100	0.1833	0	0	7.504	0.7428	1.0509	50.7654	0.0018	148.4012	14.0043	338.118	2686.4028	23.458	0.0269
897	Basse-Terre	Foret_ombrophile	645300	1768700	0.2879	0	0	11.6516	0.6099	1.2638	70.4198	0.016	211.6636	15.9945	322.7799	2794.0864	22.8358	0.0099
898	Basse-Terre	Foret_ombrophile	645900	1768100	0.2681	0	0	8.6158	0.5876	1.2213	67.8704	0	220.8858	10.4921	254.098	2546.6929	23.8259	0.0349
899	Basse-Terre	Foret_semidecidue	638500	1767900	0.004	0	0.0246	12.5781	0.753	0.6725	26.0957	0.0465	147.0648	18.7132	199.2726	2217.335	24.2556	0.0416
900	Basse-Terre	Foret_sempervirente	643100	1767900	0.3739	0	0	12.3543	0.5233	0.9618	55.9043	8.00E-04	156.9228	16.5265	229.9846	2582.8789	23.4333	0.0159
901	Basse-Terre	Foret_sempervirente	643300	1767900	0.3885	0	0	11.0896	0.4784	1.0644	62.8549	8.00E-04	166.2778	15.4447	242.8746	2600.8511	23.4012	0.0191
902	Basse-Terre	Foret_ombrophile	647300	1767900	0.3132	5.00E-04	0	7.2684	0.571	0.736	49.7036	0	229.5047	13.4297	181.4914	2084.2195	24.8654	0.0384
903	Basse-Terre	Foret_sempervirente	638900	1767700	0	0	0.0246	5.762	0.8484	0.3122	12.8272	0.0953	87.7469	22.8269	260.7768	2357.395	23.979	0.0191
904	Basse-Terre	Foret_sempervirente	640900	1767700	0.1835	0	0.0283	0	0.5835	1.1448	64.179	0.0213	164.0432	16.3735	329.1794	2392.7932	23.9802	0.0403
905	Basse-Terre	Foret_sempervirente	648100	1767700	0.3317	0.0023	0	6.6916	0.5787	0.8343	44.8346	0	213.6743	18.8412	108.0051	1798.1174	25.4064	0.0264
906	Basse-Terre	Foret_sempervirente	639100	1767300	0	0	0.0133	1.1266	0.9215	0.1078	6.9012	0.1488	55.1204	26.6373	317.8958	2453.3606	23.7819	0.0017
907	Basse-Terre	Foret_sempervirente	645900	1767300	0.3517	0	0	9.3099	0.4573	1.0311	56.858	0	229.3704	9.6252	181.3445	2283.5386	24.3889	0.0539
908	Basse-Terre	Foret_sempervirente	641900	1766900	0.1312	0	0	0	0.7931	0.6667	34.6852	0.1041	90.963	19.8748	236.6117	2022.3588	24.7469	0.0138
909	Basse-Terre	Foret_sempervirente	642100	1766900	0.1319	0	0	1.0193	0.8137	0.6173	32.1142	0.0911	84.0525	19.2067	212.5612	2010.9082	24.7679	0.0092
910	Basse-Terre	Foret_sempervirente	643900	1766900	0.2737	0	0	5.0137	0.4428	1.0974	59.942	7.00E-04	219.639	11.8827	147.5732	2203.9714	24.4239	0.0555
911	Basse-Terre	Foret_sempervirente	642100	1766700	0.0796	0	0	0.7425	0.8583	0.5191	27.6512	0.1218	78.4877	19.1529	203.1179	1956.2886	24.8605	0.0103
912	Basse-Terre	Foret_semidecidue	639100	1764700	0	0	0	0	0.8813	0.4775	18.469	0.3916	97.2042	23.7739	163.8324	2232.958	24.0119	0.0222
913	Basse-Terre	Foret_semidecidue	638900	1764300	0	0	0	0	0.7756	0.6334	25.8176	0.1812	139.4564	19.7468	107.7292	2051.2253	24.378	0.0379
914	Basse-Terre	Foret_semidecidue	640500	1764100	0	0	0	0	0.8735	0.358	21.628	0.3226	86.292	22.3765	131.7358	1897.1233	24.8123	0.0183
